name,url,cuisine,price_for_two,area,distance
L7 Club & Lounge,https://www.zomato.com/pune/l7-club-lounge-koregaon-park/info,"North Indian, Continental, Finger Food, Biryani","₹1,300 for two","Koregaon Park, Pune",4.8 km
FML - Food Music Love,https://www.zomato.com/pune/fml-food-music-love-magarpatta/info,"North Indian, Oriental, Pizza, Continental, Kebab, Biryani, Arabian, Desserts","₹1,900 for two","Magarpatta, Pune",7.8 km
Plink,https://www.zomato.com/pune/plink-yerawada/info,"Italian, Continental, Mughlai, Chinese, Salad, Pizza, Fast Food","₹3,000 for two","Yerawada, Pune
Opens at 5pm",5.7 km
OleOle - The Luxurious Club,https://www.zomato.com/pune/oleole-the-luxurious-club-baner/info,"Bar Food, North Indian, Continental, Alcoholic Beverages, Finger Food, Chinese, Pizza, Seafood","₹1,200 for two","Baner, Pune",7.2 km
Foo KOPA,https://www.zomato.com/pune/foo-kopa-mundhwa/info,"Asian, Sushi, Chinese, Desserts, Beverages","₹2,000 for two","Mundhwa, Pune",5.7 km
2BHK Diner & Key Club,https://www.zomato.com/pune/2bhk-diner-key-club-bund-garden/info,"North Indian, Mediterranean, European, Finger Food, Italian, American, Beverages","₹3,000 for two","Bund Garden Road, Pune",2 km
Fountain House,https://www.zomato.com/pune/fountain-house-2-shivaji-nagar/info,"North Indian, Fast Food, Desserts, Beverages",₹950 for two,"Shivaji Nagar, Pune",3 km
Epitome,https://www.zomato.com/pune/epitome-bund-garden/info,"North Indian, Sushi, Asian, Italian, Chinese, Fast Food, Desserts, Beverages","₹1,600 for two","Bund Garden Road, Pune",2 km
Mosaic - Crowne Plaza Pune City Centre,https://www.zomato.com/pune/mosaic-crowne-plaza-pune-city-centre-bund-garden/info,"North Indian, Fast Food, American, Beverages, Desserts, Asian","₹3,000 for two","Bund Garden Road, Pune",2.4 km
Backstage,https://www.zomato.com/pune/backstage-nibm-road/info,"Continental, North Indian, Mughlai, Seafood, Biryani, Chinese, Fast Food, Desserts","₹1,200 for two","NIBM Road, Pune",7.6 km
FC Road Social,https://www.zomato.com/pune/fc-road-social-shivaji-nagar/info,"North Indian, Biryani, Pizza, Street Food, Bar Food, Korean, Desserts","₹1,500 for two","Shivaji Nagar, Pune",1.7 km
SKYE - Rooftop by Eternia,https://www.zomato.com/pune/skye-rooftop-by-eternia-senapati-bapat-road/info,"North Indian, Chinese, Fast Food, Biryani, Mughlai, Oriental, Continental, Desserts","₹2,000 for two","Senapati Bapat Road, Pune",3.2 km
Goldfinch Family Kitchen And Bar,https://www.zomato.com/pune/goldfinch-family-kitchen-and-bar-shivaji-nagar/info,"North Indian, South Indian, Chinese","₹1,500 for two","Shivaji Nagar, Pune",1.5 km
Mamagoto,https://www.zomato.com/pune/mamagoto-senapati-bapat-road/info,"Asian, Sushi, Japanese, Thai, Salad, Desserts, Chinese","₹1,500 for two","Senapati Bapat Road, Pune",3.2 km
Effingut,https://www.zomato.com/pune/effingut-2-koregaon-park/info,"Chinese, Continental, North Indian, Oriental, Finger Food, Italian, Beverages","₹2,500 for two","Koregaon Park, Pune",4.7 km
English House,https://www.zomato.com/pune/english-house-viman-nagar/info,"North Indian, Continental, Italian, Pizza","₹2,000 for two","Viman Nagar, Pune",8.2 km
Planet 9,https://www.zomato.com/pune/planet-9-bavdhan/info,"North Indian, Mughlai, Mexican, Biryani, Beverages","₹2,000 for two","Bavdhan, Pune",10.2 km
Agent Jack's,https://www.zomato.com/pune/agent-jacks-hadapsar/info,"Bar Food, North Indian, Pasta, Continental, Thai, Oriental, Chinese, Pizza","₹1,800 for two","Hadapsar, Pune",8.2 km
Aloraa Garden Kitchen & Bar,https://www.zomato.com/pune/aloraa-garden-kitchen-bar-baner/info,"Maharashtrian, Continental, Chinese, Kebab, Biryani, Fast Food, Desserts, Bar Food","₹1,500 for two","Baner, Pune
Closes in 37 minutes",10.8 km
Chug Biergarten,https://www.zomato.com/pune/chug-biergarten-baner/info,"Continental, Oriental, Burger, Modern Indian, Pizza, Asian, Desserts, Alcoholic Beverages","₹1,500 for two","Baner, Pune",8.2 km
Teera,https://www.zomato.com/pune/teera-wakad/info,"North Indian, Continental, Mughlai, Chinese, Fast Food, Desserts, Beverages, Shake","₹1,800 for two","Wakad, Pune",11.9 km
Kyma,https://www.zomato.com/pune/kyma-mundhwa/info,"Asian, Mediterranean, Sushi, Kebab","₹1,000 for two","Mundhwa, Pune",5.8 km
Klinq - Cocktails & Cuisine,https://www.zomato.com/pune/klinq-cocktails-cuisine-viman-nagar/info,"North Indian, European, Asian, Continental, Italian, Lebanese, Bar Food, Desserts","₹1,500 for two","Viman Nagar, Pune",7.5 km
Dhaba - Estd 1986 Delhi,https://www.zomato.com/pune/dhaba-estd-1986-delhi-senapati-bapat-road/info,"North Indian, Biryani, Mughlai, Paan, Desserts","₹1,500 for two","Senapati Bapat Road, Pune",3.2 km
Cherie,https://www.zomato.com/pune/cherie-hinjawadi/info,"Asian, Modern Indian, Chinese, Italian, Salad, Continental, Desserts","₹1,900 for two","Hinjawadi, Pune",13.4 km
Mister Merchant’s,https://www.zomato.com/pune/mister-merchants-kalyani-nagar/info,"Middle Eastern, Arabian, Kebab, Lebanese, Mediterranean","₹2,000 for two","Kalyani Nagar, Pune
Closes in 37 minutes",6 km
Mocha,https://www.zomato.com/pune/mocha-salunkhe-vihar-road/info,"North Indian, Chinese, Fast Food","₹1,500 for two","Salunkhe Vihar Road, Pune",6.6 km
High Garden,https://www.zomato.com/pune/high-garden-1-senapati-bapat-road/info,"North Indian, Chinese, Italian, Biryani, Desserts, Bar Food, Finger Food, Kebab","₹1,400 for two","Senapati Bapat Road, Pune",3.4 km
Elephant & Co.,https://www.zomato.com/pune/elephant-co-baner/info,"Continental, Salad, Asian, Italian, Desserts, Beverages","₹2,000 for two","Baner, Pune",9.4 km
Upper Deck,https://www.zomato.com/pune/upper-deck-nibm-road/info,"North Indian, Chinese, Biryani, Oriental, Pizza, Fast Food, Desserts, Beverages","₹1,400 for two","NIBM Road, Pune",7.9 km
Rio Kitchen & Bar,https://www.zomato.com/pune/rio-kitchen-bar-1-hinjawadi/info,"Chinese, Continental, Pasta, North Indian, Salad, BBQ, Fast Food, Beverages","₹1,400 for two","Hinjawadi, Pune
Opens at 4pm",14.1 km
Tales & Spirits,https://www.zomato.com/pune/tales-spirits-senapati-bapat-road/info,"Italian, Continental, North Indian, Biryani, Pizza, Bar Food, Desserts, Beverages","₹1,800 for two","Senapati Bapat Road, Pune",3.2 km
TTF - The Tenth Floor,https://www.zomato.com/pune/ttf-the-tenth-floor-baner/info,"Finger Food, Chinese, Pizza, Italian, North Indian, Oriental, Bar Food, Beverages","₹1,800 for two","Baner, Pune
Opens at 5pm",7.2 km
Kukoo,https://www.zomato.com/pune/kukoo-bund-garden/info,"Continental, Asian, Italian, Modern Indian, Salad, Desserts, Alcoholic Beverages, Beverages","₹1,800 for two","Bund Garden Road, Pune",2 km
Saundarya Garden,https://www.zomato.com/pune/saundarya-garden-wakad/info,"Chinese, Rolls, Oriental, Seafood, North Indian, Mughlai, Desserts, Beverages","₹1,400 for two","Wakad, Pune",13.6 km
Local Gastro Bar,https://www.zomato.com/pune/local-gastro-bar-koregaon-park/info,"Pizza, Bar Food, Beverages","₹2,300 for two","Koregaon Park, Pune
Opens at 4pm",5.9 km
Acai,https://www.zomato.com/pune/acai-dhole-patil-road/info,"North Indian, Continental, Italian, Pizza, Bar Food","₹2,000 for two","Dhole Patil Road, Pune",2.1 km
Carmine Radisson Blu Hotel,https://www.zomato.com/pune/carmine-radisson-blu-hotel-kharadi/info,"Continental, North Indian, Asian, Seafood, Pizza, Fast Food, Biryani, Beverages","₹3,500 for two","Kharadi, Pune",9.3 km
The Daily All Day,https://www.zomato.com/pune/the-daily-all-day-1-koregaon-park/info,"European, Asian, Continental, Italian, Salad, Pizza, Desserts","₹1,200 for two","Koregaon Park, Pune",4.8 km
Classico Kitchen & Bar,https://www.zomato.com/pune/classico-kitchen-bar-erandwane/info,"Fast Food, Chinese, Salad, Continental, Italian, Pasta, Pizza, North Indian","₹1,800 for two","Erandwane, Pune",2.6 km
Sante Spa Cuisine,https://www.zomato.com/pune/sante-spa-cuisine-1-koregaon-park/info,"Healthy Food, Asian, European, Italian, Thai, North Indian, Lebanese, Beverages","₹1,400 for two","Koregaon Park, Pune",3.8 km
Little Italy,https://www.zomato.com/pune/little-italy-shivaji-nagar/info,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages","₹2,000 for two","Shivaji Nagar, Pune",2.5 km
Akasa Poolbar & Kitchen,https://www.zomato.com/pune/akasa-poolbar-kitchen-wakad/info,"Continental, North Indian, Bar Food, Asian, Italian","₹2,000 for two","Wakad, Pune",12.9 km
Open Window Cafe Bistro,https://www.zomato.com/pune/open-window-cafe-bistro-shivaji-nagar/info,"Italian, Continental, BBQ, Sandwich, Salad, Fast Food, Beverages","₹1,200 for two","Shivaji Nagar, Pune",1.9 km
The Gulmohar Bar & Curry House,https://www.zomato.com/pune/the-gulmohar-bar-curry-house-baner/info,"North Indian, South Indian, Biryani, Seafood","₹1,500 for two","Baner, Pune",8.1 km
The Cult - Terra,https://www.zomato.com/pune/the-cult-terra-magarpatta/info,"Pizza, Continental, North Indian, Chinese, Italian, Bar Food, Desserts, Beverages","₹1,800 for two","Magarpatta, Pune",6.7 km
Chaurahe Ke Paar,https://www.zomato.com/pune/chaurahe-ke-paar-koregaon-park/info,"North Indian, Continental, Bar Food, Pizza, Italian, Biryani, Mughlai, Cafe","₹1,600 for two","Koregaon Park, Pune",4.8 km
Punjab Exotica,https://www.zomato.com/pune/punjab-exotica-hadapsar/info,"Maharashtrian, North Indian, Seafood, Biryani, Chinese, Pizza, Fast Food, Desserts","₹1,300 for two","Hadapsar, Pune",8.3 km
Retox,https://www.zomato.com/pune/retox-erandwane/info,"North Indian, Chinese, Continental, Italian, Salad, Bar Food, Sichuan, Beverages","₹1,200 for two","Erandwane, Pune",3.5 km
Ba Da Bom,https://www.zomato.com/pune/ba-da-bom-dhole-patil-road/info,"Korean, Asian, Coffee","₹2,300 for two","Dhole Patil Road, Pune",2.1 km
Gong,https://www.zomato.com/pune/gong-baner/info,"Chinese, Sushi, Asian, Japanese, Thai, Salad, Desserts, Beverages","₹2,000 for two","Baner, Pune
Closes in 7 minutes",10.3 km
Cibbo- Caffe & Bar,https://www.zomato.com/pune/cibbo-caffe-bar-shivaji-nagar/info,"Bar Food, Pizza, Burger, Continental, Desserts, European, Kebab","₹1,200 for two","Shivaji Nagar, Pune",1.7 km
Persian Darbar,https://www.zomato.com/pune/persian-darbar-camp-area/info,"North Indian, Mughlai, Kebab, Biryani, Seafood, Chinese, Desserts, Beverages","₹1,200 for two","Camp Area, Pune",1.8 km
Yeti The Himalayan Kitchen,https://www.zomato.com/pune/yeti-the-himalayan-kitchen-kalyani-nagar/info,"Nepalese, Chinese, Tibetan, Momos, Healthy Food, Shake, Beverages, Asian","₹1,500 for two","Kalyani Nagar, Pune",5.8 km
Spice Factory,https://www.zomato.com/pune/spice-factory-nibm-road/info,"Continental, North Indian, Mughlai, Pizza, Beverages","₹1,800 for two","NIBM Road, Pune",7.6 km
La Sicilia Bistro & Patisserie,https://www.zomato.com/pune/la-sicilia-bistro-patisserie-kothrud/info,"Continental, Italian, Salad, Sandwich, Burger, Desserts, Coffee, Beverages","₹1,400 for two","Kothrud, Pune",4.2 km
Spice Kitchen - JW Marriott Pune,https://www.zomato.com/pune/spice-kitchen-jw-marriott-pune-senapati-bapat-road/info,"Italian, Asian, North Indian, South Indian, European","₹3,800 for two","Senapati Bapat Road, Pune",3.1 km
Donna Cucina,https://www.zomato.com/pune/donna-cucina-kalyani-nagar/info,"Italian, Pasta, Pizza, European, Coffee, Panini, Desserts, Continental","₹1,200 for two","Kalyani Nagar, Pune",5.8 km
Tipplr,https://www.zomato.com/pune/tipplr-deccan-gymkhana/info,"Continental, Asian, North Indian, Alcoholic Beverages","₹1,400 for two","Deccan Gymkhana, Pune",2.5 km
Highland,https://www.zomato.com/pune/highland-nibm-road/info,"Finger Food, Chinese, Sandwich, Continental, Oriental, Pizza, Desserts, Beverages","₹2,500 for two","NIBM Road, Pune",7.6 km
Yakii,https://www.zomato.com/pune/yakii-deccan-gymkhana/info,"Asian, Thai, Sushi, Desserts, Beverages","₹1,500 for two","Deccan Gymkhana, Pune
Closes in 7 minutes",1.6 km
Narrative,https://www.zomato.com/pune/narrative-mundhwa/info,"Modern Indian, Asian, Continental, Desserts","₹1,200 for two","Mundhwa, Pune",5.9 km
Atmosphere 6,https://www.zomato.com/pune/atmosphere-6-viman-nagar/info,"North Indian, Continental, Chinese, Salad, Oriental","₹2,000 for two","Viman Nagar, Pune",7.8 km
Code - The Speakeasy Bar,https://www.zomato.com/pune/code-the-speakeasy-bar-kothrud/info,"North Indian, Chinese, Continental, Fast Food, Biryani, Beverages","₹1,200 for two","Kothrud, Pune",4.9 km
Copa Cabana,https://www.zomato.com/pune/copa-cabana-pimple-nilakh/info,"North Indian, Continental, Asian, Italian, Salad, Biryani, Sandwich, Desserts","₹1,900 for two","Pimple Nilakh, Pune",10.9 km
German Bakery,https://www.zomato.com/pune/german-bakery-koregaon-park/info,"Italian, Sandwich, Pizza, Continental, Coffee, Beverages, Pasta, Desserts","₹1,300 for two","Koregaon Park, Pune",3.9 km
Ishaara,https://www.zomato.com/pune/ishaara-viman-nagar/info,"North Indian, Mughlai, Kebab, Biryani","₹1,400 for two","Viman Nagar, Pune",7.9 km
Sankalp,https://www.zomato.com/pune/sankalp-kalyani-nagar/info,"South Indian, Coffee, Fast Food","₹1,500 for two","Kalyani Nagar, Pune",6.3 km
Ava Artisan Kitchen & Bar,https://www.zomato.com/pune/ava-artisan-kitchen-bar-1-balewadi/info,"North Indian, Chinese, Continental, Sushi, Asian, Italian","₹1,200 for two","Balewadi, Pune",10.7 km
Heads Up Rooftop Bar,https://www.zomato.com/pune/heads-up-rooftop-bar-sinhgad-road/info,"North Indian, Continental, Italian, Kebab, Fast Food, Pizza, Desserts","₹2,000 for two","Sinhgad Road, Pune",6.3 km
Prem's,https://www.zomato.com/pune/prems-baner/info,"North Indian, Chinese, Continental, Pizza, Pasta, Sichuan","₹1,600 for two","Baner, Pune",9 km
Jubilee,https://www.zomato.com/pune/jubilee-koregaon-park/info,"Sandwich, Desserts, Bakery, Beverages, Coffee, Ice Cream, Pizza, Shake","₹1,100 for two","Koregaon Park, Pune",3.9 km
YOLO Gastro Lounge,https://www.zomato.com/pune/yolo-gastro-lounge-pimple-nilakh/info,"Finger Food, North Indian, Continental, Desserts, Bar Food, Beverages","₹1,900 for two","Pimple Nilakh, Pune",11 km
Coffee Nation,https://www.zomato.com/pune/coffee-nation-shivaji-nagar/info,"Cafe, Coffee, Shake, Beverages, Salad, Fast Food, Bakery, Desserts",₹850 for two,"Shivaji Nagar, Pune",1.7 km
Ishaara,https://www.zomato.com/pune/ishaara-wakad/info,"North Indian, Mughlai, Kebab, Biryani, Desserts, Beverages","₹1,400 for two","Wakad, Pune",13.6 km
Subakes,https://www.zomato.com/pune/subakes-sadashiv-peth/info,"Pizza, Pasta, Italian, Burger, Cafe, Coffee, Sandwich, Beverages",₹850 for two,"Sadashiv Peth, Pune",1.7 km
Talli Bar & Kitchen,https://www.zomato.com/pune/talli-bar-kitchen-baner/info,"Bar Food, Continental, Italian, North Indian, Chinese, Seafood, Fast Food, Beverages","₹1,900 for two","Baner, Pune",7.4 km
Ecstasy Bar And Eatery,https://www.zomato.com/pune/ecstasy-bar-and-eatery-kothrud/info,"North Indian, Chinese, Continental, Fast Food, Beverages, Desserts","₹1,800 for two","Kothrud, Pune",4.7 km
Tyk Tyk,https://www.zomato.com/pune/tyk-tyk-2-kharadi/info,"North Indian, Chinese, Biryani, South Indian, Momos, Street Food, Desserts, Beverages","₹1,500 for two","Kharadi, Pune",10.4 km
The Mafia Sky Lounge,https://www.zomato.com/pune/the-mafia-sky-lounge-chandan-nagar/info,"Continental, North Indian, Oriental, Chinese, Seafood, Kebab, Desserts","₹2,400 for two","Chandan Nagar, Pune",8.9 km
Fiori,https://www.zomato.com/pune/fiori-1-lonavala/info,"Cafe, Coffee, Sandwich, Pizza, Pasta, Fast Food, Desserts, Beverages","₹1,300 for two","Lonavala, Pune
Opens at 4pm",53.9 km
La Magia,https://www.zomato.com/pune/la-magia-koregaon-park/info,"Italian, Pizza, Pasta","₹2,500 for two","Koregaon Park, Pune",3.9 km
Cafe Co2 Resto Lounge,https://www.zomato.com/pune/cafe-co2-resto-lounge-bhugaon/info,"North Indian, Mughlai, Chinese, Continental, Kebab, Biryani, Desserts, Beverages","₹3,000 for two","Bhugaon, Pune",13.2 km
Rude Lounge,https://www.zomato.com/pune/rude-lounge-viman-nagar/info,"North Indian, Chinese","₹1,900 for two","Viman Nagar, Pune",7.9 km
Grandmama's Cafe,https://www.zomato.com/pune/grandmamas-cafe-koregaon-park/info,"Pasta, Pizza, Coffee, Cafe, Desserts, Beverages, Italian","₹1,000 for two","Koregaon Park, Pune",4.6 km
IHOP,https://www.zomato.com/pune/ihop-senapati-bapat-road/info,"Coffee, Desserts, American, Beverages, Pancake, Burger, Cafe, Italian","₹1,000 for two","Senapati Bapat Road, Pune",3.2 km
Circuit House,https://www.zomato.com/pune/circuit-house-balewadi/info,"North Indian, Italian, Continental, Chinese, Mughlai, Desserts, Beverages","₹2,000 for two","Balewadi, Pune",10.5 km
The Nook All Day Dining,https://www.zomato.com/pune/the-nook-all-day-dining-senapati-bapat-road/info,"Cafe, Coffee, Burger, Pasta, Sandwich, Wraps, Desserts, Beverages",₹500 for two,"Senapati Bapat Road, Pune",3 km
Oi Brewhouse,https://www.zomato.com/pune/oi-brewhouse-kalyani-nagar/info,"Continental, Oriental","₹1,500 for two","Kalyani Nagar, Pune",5.8 km
Kuai Kitchen,https://www.zomato.com/pune/kuai-kitchen-koregaon-park/info,"Chinese, Sushi, North Indian, Seafood, Desserts, Beverages","₹1,800 for two","Koregaon Park, Pune
Closes in 7 minutes",4.7 km
Cobbler & Crew,https://www.zomato.com/pune/cobbler-crew-kalyani-nagar/info,"Modern Indian, Continental, Asian","₹2,000 for two","Kalyani Nagar, Pune",5.8 km
daWholesum Resto Cafe,https://www.zomato.com/pune/dawholesum-resto-cafe-fc-road/info,"Healthy Food, Continental, Beverages","₹1,200 for two","FC Road, Pune",1.6 km
Rustic Sands,https://www.zomato.com/pune/rustic-sands-hinjawadi/info,"Chinese, North Indian, Biryani, Mughlai, Seafood, Beverages, Desserts","₹1,200 for two","Hinjawadi, Pune",17.9 km
SOUL - Neighbour Food Bar,https://www.zomato.com/pune/soul-neighbour-food-bar-viman-nagar/info,"North Indian, Mughlai, Kebab, Biryani, Chinese, Desserts","₹1,000 for two","Viman Nagar, Pune",7.7 km
Flow,https://www.zomato.com/pune/flow-baner/info,"Modern Indian, European, Continental, Italian, Pizza, Alcoholic Beverages, Beverages, Desserts","₹1,200 for two","Baner, Pune",8 km
Kiki,https://www.zomato.com/pune/kiki-sangamvadi/info,Bar Food,"₹1,000 for two","Sangamvadi, Pune",2.1 km
Coriander Kitchen - Conrad Pune,https://www.zomato.com/pune/coriander-kitchen-conrad-pune-bund-garden/info,"North Indian, Asian, Mediterranean, Shake","₹5,000 for two","Bund Garden Road, Pune
Closes in 7 minutes",3.1 km
Beer & Beans,https://www.zomato.com/pune/beer-beans-nibm-road/info,"Cafe, Italian, Beverages, Coffee, Desserts, Continental, Alcoholic Beverages","₹1,300 for two","NIBM Road, Pune",7.6 km
Texas Tower,https://www.zomato.com/pune/texas-tower-kharadi/info,"North Indian, Chinese, Oriental, Biryani, Mughlai, Mexican, Desserts, Beverages","₹1,900 for two","Kharadi, Pune",9.6 km
The Daark Horse,https://www.zomato.com/pune/the-daark-horse-koregaon-park/info,"North Indian, Chinese, Mughlai, Street Food, Kebab, Seafood","₹1,200 for two","Koregaon Park, Pune",4 km
Toit,https://www.zomato.com/pune/toit-1-kalyani-nagar/info,"Continental, Pizza, Fast Food, Desserts","₹1,800 for two","Kalyani Nagar, Pune",6.4 km
Soy Como Soy,https://www.zomato.com/pune/soy-como-soy-koregaon-park/info,"Japanese, Asian, Peruvian, Desserts, Beverages","₹2,500 for two","Koregaon Park, Pune
Closes in 37 minutes",4.8 km
Doolally Taproom,https://www.zomato.com/pune/doolally-taproom-1-mundhwa/info,"Continental, Pizza, Fast Food, North Indian, Chinese, Pasta, Desserts, Beverages","₹1,000 for two","Mundhwa, Pune",5.8 km
Ouza Cocktail Bar & Kitchen,https://www.zomato.com/pune/ouza-cocktail-bar-kitchen-baner/info,"Mediterranean, Asian, Modern Indian, European, Desserts, Salad","₹1,000 for two","Baner, Pune",7.3 km
The Boho House Cocktail Bar,https://www.zomato.com/pune/the-boho-house-cocktail-bar-balewadi/info,"North Indian, Fast Food","₹1,400 for two","Balewadi, Pune",10.7 km
Pergola De Pines,https://www.zomato.com/pune/pergola-de-pines-kalyani-nagar/info,"Italian, North Indian, Goan, Thai, Korean, Lebanese, Continental, Desserts","₹1,700 for two","Kalyani Nagar, Pune",5.8 km
Masala Mehfil,https://www.zomato.com/pune/masala-mehfil-baner/info,"Maharashtrian, North Indian, Seafood, Biryani, Beverages, Alcoholic Beverages","₹1,200 for two","Baner, Pune",9.8 km
Hard Rock Cafe,https://www.zomato.com/pune/hard-rock-cafe-2-hadapsar/info,"American, Continental, Italian, Wraps, Burger, Desserts, Fast Food, Beverages","₹1,600 for two","Hadapsar, Pune",8.3 km
Pimlico,https://www.zomato.com/pune/pimlico-koregaon-park/info,"Alcoholic Beverages, Italian, Beverages, Pizza, Sushi, Continental, Salad, Pasta","₹3,000 for two","Koregaon Park, Pune",4.6 km
The House Of Jeera,https://www.zomato.com/pune/the-house-of-jeera-baner/info,"Continental, North Indian, Chinese","₹1,400 for two","Baner, Pune",9.3 km
Publiq,https://www.zomato.com/pune/publiq-koregaon-park/info,"Asian, North Indian, Italian, Chinese, Biryani, Kebab, Salad, Beverages","₹2,000 for two","Koregaon Park, Pune",4.7 km
Urban Harvest – Fine Food & Cocktails,https://www.zomato.com/pune/urban-harvest-fine-food-cocktails-sinhgad-road/info,"North Indian, Asian, Continental, Chinese, Italian, Biryani, Seafood, Desserts","₹1,000 for two","Sinhgad Road, Pune",6.4 km
Favela,https://www.zomato.com/pune/favela-hinjawadi/info,"Continental, North Indian, Chinese, Pizza, Fast Food, Biryani, Desserts, Bar Food","₹1,500 for two","Hinjawadi, Pune",13.8 km
Ya Basa Kitchen & Bar,https://www.zomato.com/pune/ya-basa-kitchen-bar-kharadi/info,"North Indian, Continental, Seafood, Oriental, Biryani, Kebab, Beverages","₹1,200 for two","Kharadi, Pune",9.4 km
Nincasa - House Of Brews,https://www.zomato.com/pune/nincasa-house-of-brews-hadapsar/info,"Asian, Middle Eastern, Bar Food, Modern Indian, Lebanese, Turkish, Continental, Mediterranean","₹2,500 for two","Hadapsar, Pune",8 km
Sasson The Global Kitchen,https://www.zomato.com/pune/sasson-the-global-kitchen-hadapsar/info,"Continental, Pizza, Salad, Sushi, Pasta, Desserts, Beverages","₹1,000 for two","Hadapsar, Pune",7.9 km
The Game Palacio,https://www.zomato.com/pune/the-game-palacio-dhole-patil-road/info,"Pizza, Sushi, Asian, Italian","₹1,400 for two","Dhole Patil Road, Pune",1.9 km
Mainland China,https://www.zomato.com/pune/mainland-china-senapati-bapat-road/info,"Chinese, Japanese, Korean, Sushi, Seafood, Oriental, Beverages, Bar Food","₹2,000 for two","Senapati Bapat Road, Pune
Closes in 7 minutes",3.1 km
Escada All Day Kitchen & Bar,https://www.zomato.com/pune/escada-all-day-kitchen-bar-viman-nagar/info,"Salad, Chinese, Asian, North Indian, Italian, Oriental","₹2,000 for two","Viman Nagar, Pune
Opens at 4pm",7.8 km
Beer & Beans,https://www.zomato.com/pune/beer-beans-baner/info,"Oriental, Italian, Continental","₹1,200 for two","Baner, Pune",9.3 km
24K Kraft Brewzz,https://www.zomato.com/pune/24k-kraft-brewzz-balewadi/info,"North Indian, Chinese, Mughlai, Pizza, Italian, Seafood, Beverages, Desserts","₹2,500 for two","Balewadi, Pune",10.2 km
