name,url,cuisine,price_for_two,area,distance
Teritree,https://www.zomato.com/pune/teritree-hadapsar/info,"North Indian, Chinese, Continental, Italian, Mughlai, Desserts, Beverages, Pasta","₹1,900 for two","Hadapsar, Pune
Closes in 7 minutes",7.9 km
Sante Spa Cuisine,https://www.zomato.com/pune/sante-spa-cuisine-baner/info,"Cafe, Healthy Food, Mediterranean, Continental, Desserts","₹1,200 for two","Baner, Pune",9.9 km
Braun Autobahn - The Smart Restaurant,https://www.zomato.com/pune/braun-autobahn-the-smart-restaurant-viman-nagar/info,"Japanese, North Indian, Asian, Thai, Bengali, Continental, Chinese, Beverages","₹1,600 for two","Viman Nagar, Pune",7.9 km
Independence Brewing Company,https://www.zomato.com/pune/independence-brewing-company-kalyani-nagar/info,"Bar Food, Continental, Fast Food, Salad, Desserts, Beverages","₹2,500 for two","Kalyani Nagar, Pune",6.2 km
Shizusan,https://www.zomato.com/pune/shizusan-viman-nagar/info,"Japanese, Asian, Chinese, Thai, Desserts","₹1,900 for two","Viman Nagar, Pune",7.9 km
Sky Stories,https://www.zomato.com/pune/sky-stories-baner/info,"Italian, Continental, North Indian, Mughlai, Biryani, Oriental, Bar Food, Desserts","₹1,800 for two","Baner, Pune
Opens at 4pm",9.3 km
Punjab Grill,https://www.zomato.com/pune/punjab-grill-viman-nagar/info,"North Indian, Kebab, Biryani, Mughlai","₹2,000 for two","Viman Nagar, Pune",7.9 km
One8 Commune,https://www.zomato.com/pune/one8-commune-koregaon-park/info,"North Indian, Continental, Sushi, Rolls, Mughlai, Salad, Asian, Italian","₹1,200 for two","Koregaon Park, Pune",4.2 km
Elaichi Pure Veg,https://www.zomato.com/pune/elaichi-pure-veg-baner/info,"North Indian, Biryani, Continental, Chinese, Pizza, Salad, Desserts, Beverages","₹1,200 for two","Baner, Pune",7.2 km
Makaira Kitchen & Bar,https://www.zomato.com/pune/makaira-kitchen-bar-wakad/info,"Chinese, Kebab, Italian, Continental, Biryani, Maharashtrian, North Indian","₹1,500 for two","Wakad, Pune",12.3 km
Mystic Flavours,https://www.zomato.com/pune/mystic-flavours-warje/info,"Continental, Modern Indian, Asian, Oriental","₹1,000 for two","Warje, Pune
Opens in 7 minutes",7.3 km
Tipsy Turtle,https://www.zomato.com/pune/tipsy-turtle-bavdhan/info,"North Indian, Mughlai, Continental, Asian, Biryani, Pizza, Thai, Desserts","₹1,400 for two","Bavdhan, Pune",10.3 km
PizzaExpress,https://www.zomato.com/pune/pizzaexpress-ghorpadi/info,"Pizza, Bakery, Salad, Italian, Coffee, Beverages, Pasta, Cafe","₹1,400 for two","Ghorpadi, Pune",5.8 km
Pune 14 - Hyatt Regency,https://www.zomato.com/thecafe/info,"North Indian, Asian, Continental","₹3,700 for two","Viman Nagar, Pune",7.3 km
Baba's,https://www.zomato.com/pune/babas-1-baner/info,"North Indian, Chinese, Kebab, Biryani, Beverages","₹1,000 for two","Baner, Pune",6.8 km
Intactu,https://www.zomato.com/pune/intactu-hinjawadi/info,"North Indian, Biryani, Mughlai, Pizza, Pasta, Italian, Fast Food, Desserts","₹1,500 for two","Hinjawadi, Pune",16.8 km
Dobaraa,https://www.zomato.com/pune/dobaraa-viman-nagar/info,"North Indian, Continental","₹3,500 for two","Viman Nagar, Pune",7.9 km
Gather,https://www.zomato.com/pune/gather-law-college-road/info,"Bar Food, Continental, Pizza, Desserts","₹1,800 for two","Law College Road, Pune",2.8 km
Chang's,https://www.zomato.com/pune/changs-viman-nagar/info,"Chinese, Asian, Fast Food, Seafood, Desserts, Beverages, Sichuan","₹1,200 for two","Viman Nagar, Pune",7.8 km
Nawab Asia,https://www.zomato.com/pune/nawab-asia-1-baner/info,"North Indian, Chinese, Mughlai, Biryani, Seafood, Desserts, Beverages","₹1,600 for two","Baner, Pune
Closes in 37 minutes",10.2 km
Caffe Allora,https://www.zomato.com/pune/caffe-allora-viman-nagar/info,"Pizza, Italian, Pasta","₹2,000 for two","Viman Nagar, Pune",7.9 km
Gilt Club,https://www.zomato.com/pune/gilt-club-kharadi/info,"North Indian, Continental, Biryani, Mughlai, Bar Food, Chinese, Kebab, Fast Food","₹2,500 for two","Kharadi, Pune",10.5 km
The Revolution Bar,https://www.zomato.com/pune/the-revolution-bar-baner/info,"Biryani, Pizza, Continental, Chinese, North Indian, Oriental, Asian, Pasta","₹1,800 for two","Baner, Pune",9.4 km
Bombon,https://www.zomato.com/pune/bombon-1-koregaon-park/info,"Cafe, Coffee","₹1,200 for two","Koregaon Park, Pune",4.4 km
The Studs Sports Bar & Grill,https://www.zomato.com/pune/the-studs-sports-bar-grill-baner/info,"Modern Indian, Bar Food, Continental","₹1,200 for two","Baner, Pune",9.3 km
Boho Boho,https://www.zomato.com/pune/boho-boho-1-koregaon-park/info,"Continental, Healthy Food, Salad, Pizza, Sandwich, Desserts, Coffee, Beverages",₹950 for two,"Koregaon Park, Pune",4.6 km
You Mee,https://www.zomato.com/pune/you-mee-viman-nagar/info,"Asian, Japanese, Sushi, Desserts, Beverages","₹2,500 for two","Viman Nagar, Pune",7.9 km
I Amsterdam,https://www.zomato.com/pune/i-amsterdam-hinjawadi/info,"Asian, North Indian, European","₹1,700 for two","Hinjawadi, Pune
Closes in 22 minutes",15.8 km
Loft - On The Top,https://www.zomato.com/pune/loft-on-the-top-kondhwa/info,"North Indian, Desserts, Bar Food","₹2,000 for two","Kondhwa, Pune
Opens at 4:30pm",7 km
Mikachi Club Bar & Kitchen,https://www.zomato.com/pune/mikachi-club-bar-kitchen-kharadi/info,"North Indian, Biryani, Chinese, Continental, Fast Food, Seafood, Mughlai, Pizza","₹2,000 for two","Kharadi, Pune",10.4 km
Uncle's Chinese,https://www.zomato.com/pune/uncles-chinese-viman-nagar/info,"Chinese, Oriental, Seafood, Cantonese, Sichuan, Asian, Thai, Singaporean","₹1,500 for two","Viman Nagar, Pune",7.4 km
Budget Room,https://www.zomato.com/pune/budget-room-kalyani-nagar/info,"North Indian, Mughlai, Continental","₹1,000 for two","Kalyani Nagar, Pune
Opens at 4pm",6.4 km
Kimchi,https://www.zomato.com/pune/kimchi-kharadi/info,"Chinese, Oriental, Seafood, Cantonese, Sichuan, Asian, Thai, Singaporean","₹1,500 for two","Kharadi, Pune",8.9 km
Hakuna Matata,https://www.zomato.com/pune/hakuna-matata-shivaji-nagar/info,"North Indian, Chinese, Fast Food, Sichuan, Street Food, Pizza, Seafood","₹1,000 for two","Shivaji Nagar, Pune",1.2 km
Great Sagar Restaurant,https://www.zomato.com/pune/great-sagar-restaurant-viman-nagar/info,"North Indian, Chinese",₹650 for two,"Viman Nagar, Pune",7.8 km
Kukoo,https://www.zomato.com/pune/kukoo-kalyani-nagar/info,"Continental, Asian, Italian, Modern Indian, Salad, Desserts","₹1,800 for two","Kalyani Nagar, Pune",6 km
Sunrise Family Restaurant,https://www.zomato.com/pune/sunrise-family-restaurant-1-magarpatta/info,"North Indian, South Indian, Chinese, Mughlai, Seafood, Biryani, Desserts, Shake","₹1,100 for two","Magarpatta, Pune
Closes in 7 minutes",7.6 km
Burger King,https://www.zomato.com/pune/burger-king-1-east-street/info,"Burger, Fast Food",₹250 for two,"East Street, Pune",2.8 km
PizzaExpress,https://www.zomato.com/pune/pizzaexpress-viman-nagar/info,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe","₹1,400 for two","Viman Nagar, Pune",8.3 km
Trooh,https://www.zomato.com/pune/trooh-kalyani-nagar/info,"Asian, Japanese, Italian","₹2,000 for two","Kalyani Nagar, Pune",6.2 km
Taco & Tequila Co,https://www.zomato.com/pune/taco-tequila-co-kalyani-nagar/info,Mexican,"₹1,300 for two","Kalyani Nagar, Pune
Closes in 7 minutes",5.8 km
The Barkhana,https://www.zomato.com/pune/the-barkhana-wakad/info,"Bar Food, Mughlai, Chinese, North Indian, Fast Food, Desserts, Beverages, Sichuan","₹2,000 for two","Wakad, Pune",13.3 km
Tiger Naan,https://www.zomato.com/pune/tiger-naan-koregaon-park/info,"North Indian, Continental, Beverages, Desserts","₹1,800 for two","Koregaon Park, Pune",4.5 km
Merchant & Me,https://www.zomato.com/pune/merchant-me-wakad/info,"North Indian, Alcoholic Beverages, Kebab, Pizza, Finger Food, Desserts, Beverages","₹2,500 for two","Wakad, Pune
Closes in 37 minutes",13.6 km
Thyme & Whisk,https://www.zomato.com/pune/thyme-whisk-koregaon-park/info,"North Indian, Chinese, Biryani, Pizza, Rolls, Shake, Desserts, Beverages","₹1,000 for two","Koregaon Park, Pune",3.7 km
The Ruby Hilltop - Sunny's World,https://www.zomato.com/pune/the-ruby-hilltop-sunnys-world-sus/info,"Bar Food, Chinese, North Indian, Asian, Italian, Mughlai, Beverages, Desserts","₹1,600 for two","Sus, Pune",13.3 km
3 Idiots - The Friendly Bar,https://www.zomato.com/pune/3-idiots-the-friendly-bar-pimple-gurav/info,"North Indian, Continental, Biryani, Chinese, Fast Food, Desserts, Beverages","₹1,600 for two","Pimple Gurav, Pune",10.1 km
Dario's,https://www.zomato.com/pune/darios-2-koregaon-park/info,"Pizza, Italian, Cafe, Sandwich, Desserts, Alcoholic Beverages, Pasta","₹2,600 for two","Koregaon Park, Pune",4.5 km
QORA - Cocktail Bar & Kitchen,https://www.zomato.com/pune/qora-cocktail-bar-kitchen-koregaon-park/info,"Continental, Asian, Salad, Biryani, Sushi, Desserts","₹2,500 for two","Koregaon Park, Pune",4.6 km
Tao - Fu - JW Marriott Pune,https://www.zomato.com/pune/tao-fu-jw-marriott-pune-senapati-bapat-road/info,"Chinese, Asian","₹4,000 for two","Senapati Bapat Road, Pune
Closes in 7 minutes",3.1 km
Nanna's Negroni,https://www.zomato.com/pune/nannas-negroni-baner/info,"Italian, Continental, Pasta, Pizza, Desserts","₹1,800 for two","Baner, Pune",8 km
Pasco - An Epitome Of Wine & Dine,https://www.zomato.com/pune/pasco-an-epitome-of-wine-dine-pimple-saudagar/info,"North Indian, Italian, Seafood, Chinese, Oriental, Kebab, Biryani, Desserts","₹1,700 for two","Pimple Saudagar, Pune",10.3 km
1BHK Superbar,https://www.zomato.com/pune/1bhk-superbar-baner/info,"North Indian, Asian, Italian, European, Continental, Mediterranean, American, Seafood","₹1,800 for two","Baner, Pune",10.3 km
Mekong Folks,https://www.zomato.com/pune/mekong-folks-balewadi/info,"Asian, Cantonese, Sushi, Japanese, Chinese, Salad, Seafood, Beverages","₹2,000 for two","Balewadi, Pune",10.2 km
Sreca Rooftop Lounge,https://www.zomato.com/pune/sreca-rooftop-lounge-pimple-nilakh/info,"North Indian, Continental, Asian, Bar Food, Seafood","₹1,700 for two","Pimple Nilakh, Pune",10.1 km
Flo - The Brewing Club,https://www.zomato.com/pune/flo-the-brewing-club-hinjawadi/info,"Bar Food, Chinese, Pizza, Biryani","₹3,000 for two","Hinjawadi, Pune",16.1 km
Ice N Fire Sky Lounge,https://www.zomato.com/pune/ice-n-fire-sky-lounge-baner/info,"Bar Food, Continental, North Indian, Pizza, Burger, Pasta, Chinese, Desserts","₹1,800 for two","Baner, Pune",9.8 km
Pop Tate's,https://www.zomato.com/pune/pop-tates-viman-nagar/info,"North Indian, Chinese, Italian, Biryani, Pizza, Pasta, Fast Food, Beverages","₹1,400 for two","Viman Nagar, Pune",7.9 km
The Voyage,https://www.zomato.com/pune/the-voyage-koregaon-park/info,"Continental, Fast Food, Italian, European, Healthy Food, Desserts, Coffee, Beverages","₹1,000 for two","Koregaon Park, Pune",4.8 km
Nativ,https://www.zomato.com/pune/nativ-baner/info,"North Indian, Mughlai, Continental, Chinese, Asian, Biryani, Bar Food","₹1,800 for two","Baner, Pune",8.7 km
Tettoricca,https://www.zomato.com/pune/tettoricca-hinjawadi/info,"North Indian, Continental","₹1,200 for two","Hinjawadi, Pune",14.3 km
TGI Fridays,https://www.zomato.com/pune/tgi-fridays-senapati-bapat-road/info,"American, Mexican, Pizza, Continental, Desserts, Beverages","₹2,000 for two","Senapati Bapat Road, Pune",3.2 km
Soy Affair,https://www.zomato.com/pune/soy-affair-baner/info,"Asian, Chinese, Sushi, Seafood","₹1,000 for two","Baner, Pune
Closes in 7 minutes",10.1 km
Le Stone,https://www.zomato.com/pune/le-stone-ravet/info,"North Indian, Kebab, Biryani, Asian, Continental, Italian, Mexican, Desserts","₹1,600 for two","Ravet, Pune",19.7 km
Shiv Sagar,https://www.zomato.com/pune/shiv-sagar-viman-nagar/info,"North Indian, South Indian, Chinese, Sandwich, Street Food, Pizza, Desserts, Beverages","₹1,100 for two","Viman Nagar, Pune",7.6 km
TIAN The Oriental Kitchen,https://www.zomato.com/pune/tian-the-oriental-kitchen-law-college-road/info,"Oriental, Chinese, Japanese, Asian, Sushi, Seafood","₹1,200 for two","Law College Road, Pune
Closes in 7 minutes",2.7 km
Torre - Gourmet Dining & Bar,https://www.zomato.com/pune/torre-gourmet-dining-bar-baner/info,"Fast Food, Bar Food, Finger Food","₹1,200 for two","Baner, Pune",9.9 km
24 Carat Lounge & Bar,https://www.zomato.com/pune/24-carat-lounge-bar-bhugaon/info,"North Indian, Mughlai, Chinese, Seafood, Continental, Desserts, Beverages","₹1,800 for two","Bhugaon, Pune",13 km
The Square - Novotel,https://www.zomato.com/pune/the-square-novotel-wadgaon-sheri/info,"North Indian, European, Continental, Chinese, Mediterranean, Asian, Italian, Fast Food","₹3,200 for two","Wadgaon Sheri, Pune",7.1 km
Tim Hortons,https://www.zomato.com/pune/tim-hortons-fc-road/info,"Cafe, Coffee, Italian, Sandwich, Fast Food",₹800 for two,"FC Road, Pune",1.7 km
The Camden Lane,https://www.zomato.com/pune/the-camden-lane-koregaon-park/info,"Continental, Mexican, Coffee, Tea","₹1,500 for two","Koregaon Park, Pune",4.5 km
House of Bottles,https://www.zomato.com/pune/house-of-bottles-hadapsar/info,"Asian, Modern Indian, Continental, Pizza, Burger, Desserts, Italian","₹2,000 for two","Hadapsar, Pune",7.9 km
The Beans Talk Cafe,https://www.zomato.com/pune/the-beans-talk-cafe-viman-nagar/info,"Cafe, Coffee, Italian, Mexican, American, Pizza, Desserts, Beverages",₹950 for two,"Viman Nagar, Pune",7.9 km
The Verandah,https://www.zomato.com/pune/the-verandah-erandwane/info,"Maharashtrian, Fast Food, South Indian, Desserts, Beverages, Sandwich, North Indian, Street Food","₹1,000 for two","Erandwane, Pune",3.1 km
Barrio Roof Top Kitchen And Bar,https://www.zomato.com/pune/barrio-roof-top-kitchen-and-bar-pimple-saudagar/info,"North Indian, Oriental, Chinese, Biryani, Pizza, Pasta, Seafood, Desserts","₹1,800 for two","Pimple Saudagar, Pune
Closes in 37 minutes",11 km
Bovi Kitchen And Bar,https://www.zomato.com/pune/bovi-kitchen-and-bar-baner/info,"North Indian, South Indian, Burger","₹1,600 for two","Baner, Pune",7.2 km
Flipside Cafe & Bar,https://www.zomato.com/pune/flipside-cafe-bar-baner/info,"Continental, Bar Food, Cafe, Coffee, Alcoholic Beverages, Tea","₹1,900 for two","Baner, Pune",8.1 km
PizzaExpress,https://www.zomato.com/pune/pizzaexpress-wakad/info,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe","₹1,400 for two","Wakad, Pune",13.6 km
Beetroot Bistro,https://www.zomato.com/pune/beetroot-bistro-koregaon-park/info,"Healthy Food, Chinese, Sandwich, Italian, Fast Food, Continental, Desserts, Beverages","₹1,600 for two","Koregaon Park, Pune",4.6 km
Thikana,https://www.zomato.com/pune/thikana-hinjawadi/info,"North Indian, Italian, Pasta, Continental, Pizza, Biryani, Beverages","₹1,800 for two","Hinjawadi, Pune",13.5 km
Dhaba Shaba Veg Bistro,https://www.zomato.com/pune/dhaba-shaba-veg-bistro-koregaon-park/info,"North Indian, Chinese, Desserts, Beverages","₹1,400 for two","Koregaon Park, Pune",4.5 km
The Silent Partner,https://www.zomato.com/pune/the-silent-partner-nibm-road/info,"Salad, Healthy Food, North Indian, Chinese, Continental, Goan, Beverages","₹1,500 for two","NIBM Road, Pune",7.4 km
Anglo Indian,https://www.zomato.com/pune/anglo-indian-lonavala/info,"BBQ, Street Food, Fast Food, Salad, Burger, Pizza, Desserts, Beverages","₹1,400 for two","Lonavala, Pune",57.1 km
Barbozaa,https://www.zomato.com/pune/barbozaa-magarpatta/info,"Bar Food, Pizza, North Indian, Pasta","₹2,300 for two","Magarpatta, Pune",7.9 km
Cafe 1730,https://www.zomato.com/pune/cafe-1730-kharadi/info,"Italian, Continental, Goan, North Indian, Chinese, Mughlai, Desserts","₹2,000 for two","Kharadi, Pune",10.3 km
The Sea Secret,https://www.zomato.com/pune/the-sea-secret-jm-road/info,"Seafood, North Indian, Mughlai, Kebab, Salad, Biryani, Chinese, Desserts","₹2,000 for two","JM Road, Pune",1.6 km
Swig,https://www.zomato.com/pune/swig-3-senapati-bapat-road/info,"Bar Food, Asian, Sushi, Pizza, Italian, Continental, Fast Food, Beverages","₹1,800 for two","Senapati Bapat Road, Pune",2.9 km
Copa Villa,https://www.zomato.com/pune/copa-villa-pimple-nilakh/info,"North Indian, Asian, Continental, Salad, Seafood, Pasta, Pizza, Oriental","₹1,400 for two","Pimple Nilakh, Pune",11.1 km
Vilayati,https://www.zomato.com/pune/vilayati-kondhwa/info,"North Indian, Fast Food, Chinese, Finger Food, Pizza","₹1,000 for two","Bibvewadi, Pune",6.6 km
Incognito - Restaurant Bar & Cafe,https://www.zomato.com/pune/incognito-restaurant-bar-cafe-balewadi/info,"Continental, Asian, Italian, Thai, North Indian, Biryani, Desserts, Beverages","₹2,500 for two","Balewadi, Pune",10.3 km
Murphies - Bistro and Bar,https://www.zomato.com/pune/murphies-bistro-and-bar-deccan-gymkhana/info,"European, Continental, Asian, Bakery, Pasta, Coffee, Desserts, Salad","₹1,200 for two","Deccan Gymkhana, Pune",2.5 km
Mood Drums Kitchen & Bar,https://www.zomato.com/pune/mood-drums-kitchen-bar-hinjawadi/info,"North Indian, Italian, Alcoholic Beverages, Bar Food, Chinese, Fast Food, Salad","₹1,000 for two","Hinjawadi, Pune",16.8 km
Big Little Brew Pub,https://www.zomato.com/pune/big-little-brew-pub-kharadi/info,"North Indian, Continental","₹1,900 for two","Kharadi, Pune",11.1 km
The Irish House,https://www.zomato.com/IrishHousePune/info,"Continental, Burger, Pizza, Desserts, Beverages","₹2,500 for two","Viman Nagar, Pune",7.9 km
Affairs - The Bar,https://www.zomato.com/pune/affairs-the-bar-kalyani-nagar/info,"North Indian, Continental, Asian, Pizza, Kebab, Biryani, Desserts, Beverages","₹2,000 for two","Kalyani Nagar, Pune",6.1 km
Glens Bakehouse,https://www.zomato.com/pune/glens-bakehouse-deccan-gymkhana/info,"Italian, Pizza, Sandwich, Cake, Desserts","₹1,000 for two","Deccan Gymkhana, Pune",2.5 km
Backstage,https://www.zomato.com/pune/backstage-viman-nagar/info,"North Indian, Salad, Chinese, Mughlai, Pizza, Fast Food, Thai, Beverages","₹2,600 for two","Viman Nagar, Pune",8 km
Rangla Punjab,https://www.zomato.com/pune/rangla-punjab-pimple-saudagar/info,"North Indian, Bar Food, Chinese, Kebab, Mughlai, Street Food, Beverages","₹1,200 for two","Pimple Saudagar, Pune",10.5 km
Copper Chimney,https://www.zomato.com/pune/copper-chimney-1-wakad/info,"North Indian, Kebab, Biryani, Mughlai, Desserts, Beverages","₹1,600 for two","Wakad, Pune
Closes in 37 minutes",13.6 km
Gola Sizzlers,https://www.zomato.com/pune/gola-sizzlers-viman-nagar/info,"North Indian, Pizza, Pasta, Fast Food, Chinese, Continental, Shake, Beverages","₹1,500 for two","Viman Nagar, Pune",7.9 km
The Sassy Spoon,https://www.zomato.com/pune/the-sassy-spoon-koregaon-park/info,"European, Continental, American, Asian, Mediterranean, Healthy Food, Italian, Salad","₹1,800 for two","Koregaon Park, Pune",4.7 km
Eight,https://www.zomato.com/pune/eight-wakad/info,"Chinese, Sushi, Asian","₹2,000 for two","Wakad, Pune",13.6 km
Neighbourhud | All Day Bistro,https://www.zomato.com/pune/neighbourhud-all-day-bistro-1-baner/info,"North Indian, Biryani, Fast Food, Pizza, Continental, Beverages","₹1,500 for two","Baner, Pune",8.9 km
H1 Lounge,https://www.zomato.com/pune/h1-lounge-ravet/info,"Continental, North Indian, Oriental, Modern Indian, Italian, Pizza, Pasta, Desserts","₹2,000 for two","Ravet, Pune",20.2 km
Nakhra Indian Kitchen & Bar,https://www.zomato.com/pune/nakhra-indian-kitchen-bar-1-aundh/info,"North Indian, Modern Indian, Biryani, Kebab, Desserts","₹1,400 for two","Aundh, Pune",6.4 km
Terrace By Bailamos,https://www.zomato.com/pune/terrace-by-bailamos-balewadi/info,Asian,"₹3,000 for two","Balewadi, Pune",10.8 km
Le Parc,https://www.zomato.com/pune/le-parc-aundh/info,"North Indian, Continental, Italian, Oriental, Chinese, Salad, Kebab, Desserts","₹1,200 for two","Aundh, Pune",12.6 km
The Rustle Nest,https://www.zomato.com/pune/the-rustle-nest-baner/info,"Continental, North Indian, European, Biryani, Pasta, Sandwich, Desserts, Beverages",₹950 for two,"Baner, Pune",10.1 km
Butter - Bar & Kitchen,https://www.zomato.com/pune/butter-bar-kitchen-balewadi/info,"Asian, Italian, Chinese, Sushi, Japanese, Beverages","₹1,800 for two","Balewadi, Pune",10.2 km
Charcoal The Sizzling Sensation,https://www.zomato.com/pune/charcoal-the-sizzling-sensation-sus/info,"North Indian, Mughlai, BBQ, Italian, Biryani, Kebab, Salad","₹1,200 for two","Sus, Pune",13.3 km
Green Signal,https://www.zomato.com/pune/green-signal-deccan-gymkhana/info,"Chinese, North Indian, Continental, South Indian, Pizza, Desserts, Beverages, Maharashtrian","₹1,000 for two","Deccan Gymkhana, Pune",1.4 km
The Kuti Project,https://www.zomato.com/pune/the-kuti-project-2-baner/info,"Cafe, Coffee, Pizza, Sandwich, Fast Food, Desserts, Shake, Beverages","₹1,100 for two","Baner, Pune",9.9 km
Rajdhani,https://www.zomato.com/pune/rajdhani-viman-nagar/info,"North Indian, Gujarati, Rajasthani, Mithai","₹1,100 for two","Viman Nagar, Pune
Closes in 7 minutes",7.9 km
Le Plaisir,https://www.zomato.com/pune/le-plaisir-deccan-gymkhana/info,"Cafe, Italian, Continental, Salad, Sandwich, Pizza, Beverages, Shake","₹1,200 for two","Deccan Gymkhana, Pune",2 km
Indimex,https://www.zomato.com/pune/indimex-magarpatta/info,"North Indian, Continental, Iranian, Pasta","₹1,200 for two","Magarpatta, Pune",7.9 km
Pind Punjab,https://www.zomato.com/pune/pind-punjab-kharadi/info,"North Indian, Mughlai, Kebab, Biryani, Chinese, Desserts, Beverages","₹1,400 for two","Kharadi, Pune",10.9 km
Maharaja Bhog,https://www.zomato.com/pune/maharaja-bhog-senapati-bapat-road/info,North Indian,"₹1,400 for two","Senapati Bapat Road, Pune
Closes in 7 minutes",3.2 km
Exotica,https://www.zomato.com/pune/exotica-yerawada/info,"North Indian, Chinese, Kebab, Mughlai, Biryani, Pasta, Oriental, Desserts","₹2,100 for two","Yerawada, Pune
Closes in 7 minutes",5.3 km
Malaka Spice,https://www.zomato.com/pune/malaka-spice-koregaon-park/info,"Asian, Thai, Salad, Seafood, Sushi, Desserts","₹1,800 for two","Koregaon Park, Pune",4.7 km
Oasis,https://www.zomato.com/pune/oasis-warje/info,"North Indian, Chinese, Mughlai, Maharashtrian, Seafood, Kebab, Biryani, Beverages","₹1,300 for two","Warje, Pune",7.7 km
The Urban Foundry,https://www.zomato.com/pune/the-urban-foundry-balewadi/info,"Bar Food, North Indian, Pizza, Fast Food, Desserts, Beverages","₹2,500 for two","Balewadi, Pune",10.2 km
Ventana,https://www.zomato.com/pune/ventana-viman-nagar/info,"North Indian, European, Continental, Asian, Desserts, Indonesian, Coffee, Beverages","₹1,200 for two","Viman Nagar, Pune",7.8 km
Tatva The Vegetarian Kitchen,https://www.zomato.com/pune/tatva-the-vegetarian-kitchen-baner/info,"North Indian, Chinese, South Indian, Biryani, Street Food, Fast Food, Oriental, Beverages","₹1,000 for two","Baner, Pune",10.7 km
Earth Houz,https://www.zomato.com/pune/earth-houz-salunkhe-vihar-road/info,"North Indian, Alcoholic Beverages, Continental, Pizza, Beverages, Cafe, Desserts","₹1,000 for two","Salunkhe Vihar Road, Pune",6.5 km
Toscano,https://www.zomato.com/pune/toscano-hadapsar/info,"Italian, Pizza, Pasta, Continental, Seafood, Steak, Beverages","₹1,800 for two","Hadapsar, Pune",8.3 km
