name,url,cuisine,price_for_two,area,distance
Where Else Diner,https://www.zomato.com/pune/where-else-diner-viman-nagar/info,"Cafe, Continental, American, Parsi, Salad, Burger, Beverages",₹950 for two,"Viman Nagar, Pune",8.1 km
Butter Brews Bistro,https://www.zomato.com/pune/butter-brews-bistro-model-colony/info,"Cafe, Coffee, Continental, Salad, Sandwich, Pasta, Desserts, Beverages","₹1,100 for two","Model Colony, Pune",2.7 km
BNTR,https://www.zomato.com/pune/bntr-koregaon-park/info,"Bar Food, Fast Food","₹1,500 for two","Koregaon Park, Pune
Opens at 5pm",4.7 km
Grove Pizzeria,https://www.zomato.com/pune/grove-pizzeria-baner/info,Pizza,₹400 for two,"Baner, Pune",9.7 km
Boba Bao & Co.,https://www.zomato.com/pune/boba-bao-co-viman-nagar/info,"Korean, Chinese, Fast Food",₹350 for two,"Viman Nagar, Pune
Opens in 7 minutes",7.7 km
Fat Choy Oriental Kitchen,https://www.zomato.com/pune/fat-choy-oriental-kitchen-kharadi/info,"Asian, Sushi, Chinese, Cantonese, Seafood, Desserts","₹1,400 for two","Kharadi, Pune
Closes in 7 minutes",10.9 km
Kulcha Kulture,https://www.zomato.com/pune/kulcha-kulture-bibvewadi/info,"North Indian, Sandwich, Fast Food, Street Food, Shake, Beverages",₹500 for two,"Bibvewadi, Pune",5.1 km
Quattro Bistro,https://www.zomato.com/pune/quattro-bistro-lonavala/info,"Mexican, Pizza, Fast Food, Desserts, Italian","₹1,500 for two","Lonavala, Pune",54.3 km
Lune Cafe And Patisserie,https://www.zomato.com/pune/lune-cafe-and-patisserie-koregaon-park/info,"Cafe, Coffee, Sandwich, Fast Food, Desserts",₹500 for two,"Koregaon Park, Pune",4.9 km
Rhythm Rooftop Kitchen & Bar,https://www.zomato.com/pune/rhythm-rooftop-kitchen-bar-pimple-saudagar/info,"North Indian, Continental, Oriental, Chinese, Fast Food, Biryani","₹1,400 for two","Pimple Saudagar, Pune",11.1 km
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",https://www.zomato.com/pune/frozen-bottle-milkshakes-desserts-and-ice-cream-pimple-saudagar/info,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",₹300 for two,"Pimple Saudagar, Pune",10 km
Atithi Veg,https://www.zomato.com/pune/atithi-veg-sinhgad-road/info,"North Indian, Chinese, Continental, South Indian, Fast Food, Biryani, Desserts, Beverages","₹1,000 for two","Sinhgad Road, Pune",6.6 km
Sahara - A Magical dining destination,https://www.zomato.com/pune/sahara-a-magical-dining-destination-wakad/info,North Indian,"₹1,800 for two","Wakad, Pune",12.1 km
Hotel Sandeep,https://www.zomato.com/pune/hotel-sandeep-jm-road/info,"Maharashtrian, North Indian, Chinese, Mughlai","₹1,400 for two","JM Road, Pune",1000 m
TRP - The Rooftop Project,https://www.zomato.com/pune/trp-the-rooftop-project-mg-road/info,"North Indian, Asian, Italian, Chinese, Seafood, Biryani, Salad, Desserts","₹1,400 for two","MG Road, Pune",2.4 km
Buon Cibo- The Italian Cafe,https://www.zomato.com/pune/buon-cibo-the-italian-cafe-baner/info,"Mexican, Italian, Continental, Pizza, Pasta",₹850 for two,"Baner, Pune",9.9 km
Nusara,https://www.zomato.com/pune/nusara-shivaji-nagar/info,"Asian, Sushi, Pizza, Rolls, Chinese, Seafood, Desserts, Salad","₹1,800 for two","Shivaji Nagar, Pune",1.4 km
Global Punjab,https://www.zomato.com/pune/global-punjab-wakad/info,"North Indian, Mughlai, Kebab, Seafood, Biryani, Chinese, Desserts, Beverages","₹1,100 for two","Wakad, Pune
Closes in 7 minutes",12.4 km
Aromas Cafe & Bistro,https://www.zomato.com/pune/aromas-cafe-bistro-baner/info,"Cafe, Coffee, Tea, Shake, Lebanese, Italian, Mexican, Desserts","₹1,000 for two","Baner, Pune",7.1 km
Fulfil,https://www.zomato.com/pune/fulfil-kalyani-nagar/info,"Continental, Italian, North Indian, Desserts, Bakery, Beverages","₹1,300 for two","Kalyani Nagar, Pune",6 km
Murphies - Bistro & Bar,https://www.zomato.com/pune/murphies-bistro-bar-nibm-road/info,"European, Continental, Asian, Bakery, Pasta, Coffee, Desserts, Salad","₹1,200 for two","NIBM Road, Pune",7.3 km
18 Degrees Resto Lounge,https://www.zomato.com/pune/18-degrees-resto-lounge-pimple-saudagar/info,"North Indian, Pizza, Mughlai, Beverages, Desserts, Chinese","₹2,500 for two","Pimple Saudagar, Pune",11 km
I'M Lion,https://www.zomato.com/pune/im-lion-mahalunge/info,"Seafood, Maharashtrian","₹2,000 for two","Mahalunge, Pune",10.9 km
Tasteler Cafe,https://www.zomato.com/pune/tasteler-cafe-1-hadapsar/info,"Momos, Sandwich, Beverages",₹350 for two,"Hadapsar, Pune",7.8 km
Savannah,https://www.zomato.com/pune/savannah-shivaji-nagar/info,"Continental, Beverages, Sandwich, Pizza, Pasta, Desserts","₹1,000 for two","Shivaji Nagar, Pune",1.5 km
AB's - Absolute Barbecues,https://www.zomato.com/pune/abs-absolute-barbecues-1-viman-nagar/info,"North Indian, BBQ, Biryani","₹1,650 for two","Viman Nagar, Pune
Closes in 1 hour 7 minutes",8.1 km
The Sky Kitchen & Banquets,https://www.zomato.com/pune/the-sky-kitchen-banquets-sinhgad-road/info,"North Indian, European, Continental, Beverages, Desserts","₹1,200 for two","Sinhgad Road, Pune",5.2 km
Ghevar Thali,https://www.zomato.com/pune/ghevar-thali-katraj/info,Rajasthani,₹500 for two,"Katraj, Pune
Closes in 7 minutes",7.6 km
Blue Tokai Coffee Roasters,https://www.zomato.com/pune/blue-tokai-coffee-roasters-koregaon-park/info,"Cafe, Coffee, Beverages",₹600 for two,"Koregaon Park, Pune",4.7 km
Baraza Bars & Bites,https://www.zomato.com/pune/baraza-bars-bites-yerawada/info,"Bar Food, Kebab, North Indian, Biryani, Asian, Continental, Beverages","₹1,500 for two","Yerawada, Pune",5.6 km
Zorko - Brand Of Food Lovers,https://www.zomato.com/pune/zorko-brand-of-food-lovers-1-shivaji-nagar/info,"Pizza, Pasta, Burger, Sandwich, Momos, Fast Food, Shake, Beverages",₹350 for two,"Shivaji Nagar, Pune",959 m
The Gazebo World Of Veg,https://www.zomato.com/pune/the-gazebo-world-of-veg-1-wakad/info,"North Indian, Continental, Mexican, Thai, Oriental, Italian, Desserts, Beverages",₹800 for two,"Wakad, Pune",12.3 km
Govind Garden,https://www.zomato.com/pune/govind-garden-pimple-saudagar/info,"North Indian, Chinese, Seafood, Continental, Kebab, Biryani, Mughlai, Desserts","₹1,200 for two","Pimple Saudagar, Pune",10.2 km
Dal Baati & Co.,https://www.zomato.com/pune/dal-baati-co-koregaon-park/info,"Rajasthani, Desserts, Beverages","₹1,700 for two","Koregaon Park, Pune
Closes in 37 minutes",4.3 km
Abhishek Veg Restaurant,https://www.zomato.com/pune/abhishek-veg-restaurant-erandwane/info,"North Indian, South Indian, Chinese, Fast Food, Street Food, Desserts, Beverages, Juices","₹1,200 for two","Erandwane, Pune",3.3 km
Nagpal's Chole Bhature,https://www.zomato.com/pune/nagpals-chole-bhature-nigdi/info,"North Indian, Beverages",₹450 for two,"Nigdi, Pune",17.7 km
NIPR Bar,https://www.zomato.com/pune/nipr-bar-kothrud/info,"Bar Food, North Indian, Mughlai, Chinese, Maharashtrian, Seafood, Biryani, Desserts","₹1,400 for two","Kothrud, Pune",4.6 km
Bhairavee Pure Veg Restaurant,https://www.zomato.com/pune/bhairavee-pure-veg-restaurant-baner/info,"North Indian, Chinese, Biryani","₹1,600 for two","Baner, Pune",6.6 km
Aromas Cafe & Bistro,https://www.zomato.com/pune/aromas-cafe-bistro-wakad/info,"Continental, Burger, Sandwich, Pizza, Italian, Arabian, Salad, Desserts","₹1,000 for two","Wakad, Pune",13.6 km
Cloud 99,https://www.zomato.com/pune/cloud-99-hinjawadi/info,"North Indian, Mughlai, Seafood, Italian, Japanese, Chinese, Salad, Desserts","₹1,200 for two","Hinjawadi, Pune",15.3 km
360 Degree - The Rooftop Restaurant & Bar,https://www.zomato.com/pune/360-degree-the-rooftop-restaurant-bar-jm-road/info,"Beverages, Chinese, North Indian","₹1,400 for two","JM Road, Pune",1.4 km
Banana Leaf,https://www.zomato.com/pune/banana-leaf-kalyani-nagar/info,"South Indian, North Indian, Healthy Food, Street Food, Desserts, Beverages","₹1,400 for two","Kalyani Nagar, Pune",5.5 km
Cafe Bahar By Khuzaan,https://www.zomato.com/pune/cafe-bahar-by-khuzaan-salunkhe-vihar-road/info,"Cafe, Salad, Sandwich, Parsi, Desserts, Beverages","₹1,200 for two","Salunkhe Vihar Road, Pune",6.7 km
Poetry by Love and Cheesecake,https://www.zomato.com/pune/poetry-by-love-and-cheesecake-balewadi/info,"Bakery, Desserts, Cafe, Continental, Sandwich, Beverages, Finger Food, Coffee","₹1,800 for two","Balewadi, Pune",10.3 km
Salt - Indian Restaurant Bar & Grill,https://www.zomato.com/pune/salt-indian-restaurant-bar-grill-kalyani-nagar/info,"North Indian, Biryani, Kebab","₹1,500 for two","Kalyani Nagar, Pune",6.1 km
Barbeque Nation,https://www.zomato.com/pune/barbeque-nation-hadapsar/info,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹2,100 for two","Hadapsar, Pune
Closes in 1 hour 6 minutes",8.3 km
Tony Dhaba NXT,https://www.zomato.com/pune/tony-dhaba-nxt-hinjawadi/info,"North Indian, Mughlai, Biryani, Chinese, Seafood, Kebab","₹1,200 for two","Hinjawadi, Pune",16.7 km
The Sky Dine,https://www.zomato.com/pune/the-sky-dine-viman-nagar/info,"Maharashtrian, North Indian, Mughlai, Biryani, Chinese, Desserts, Beverages","₹1,000 for two","Viman Nagar, Pune",7.9 km
Slice Of Soul,https://www.zomato.com/pune/slice-of-soul-baner/info,"Pizza, Pasta, Italian, Salad, Fast Food, Beverages",₹500 for two,"Baner, Pune",9 km
subculture,https://www.zomato.com/pune/subculture-aundh/info,"Sandwich, Burger, Fast Food, Ice Cream, Desserts, Beverages, Tibetan",₹400 for two,"Aundh, Pune",6.9 km
The Chickster-Indo American Fried Chicken,https://www.zomato.com/pune/the-chickster-indo-american-fried-chicken-nibm-road/info,"Burger, Fast Food, Wraps, American, Coffee",₹400 for two,"NIBM Road, Pune",7.3 km
The French Window Patisserie,https://www.zomato.com/pune/the-french-window-patisserie-koregaon-park/info,"Cafe, Desserts, French, Bakery, European, Shake",₹700 for two,"Koregaon Park, Pune",4.7 km
Koji - Conrad Pune,https://www.zomato.com/pune/koji-conrad-pune-bund-garden/info,"Chinese, Japanese, Thai, Asian, Sichuan","₹5,000 for two","Bund Garden Road, Pune
Closes in 6 minutes",3.1 km
The Epic Burger,https://www.zomato.com/pune/the-epic-burger-kalyani-nagar/info,"Burger, American, Fast Food, Beverages","₹1,000 for two","Kalyani Nagar, Pune",6 km
Bird Valley EXPRESS PURE VEG,https://www.zomato.com/pune/bird-valley-express-pure-veg-hinjawadi/info,"North Indian, South Indian, Kebab, Chinese, Biryani, Street Food, Desserts, Beverages",₹500 for two,"Hinjawadi, Pune
Closes in 36 minutes",14.7 km
Meghdoot's,https://www.zomato.com/pune/meghdoots-bibvewadi/info,"North Indian, Chinese, Fast Food, Biryani, Sichuan, South Indian, Desserts, Beverages","₹1,000 for two","Bibvewadi, Pune",4.8 km
Joey's Bistro,https://www.zomato.com/pune/joeys-bistro-baner/info,"European, Oriental, North Indian, Pasta, Pizza, Desserts, Beverages","₹1,000 for two","Baner, Pune",7.5 km
Tokyo Bakery,https://www.zomato.com/pune/tokyo-bakery-baner/info,"French, Bakery, Desserts",₹250 for two,"Baner, Pune",8 km
Barbeque Ville,https://www.zomato.com/pune/barbeque-ville-wakad/info,"North Indian, Desserts","₹1,600 for two","Wakad, Pune
Closes in 36 minutes",11.9 km
Dohiti,https://www.zomato.com/pune/dohiti-viman-nagar/info,"Bakery, Desserts, Fast Food, Beverages",₹500 for two,"Viman Nagar, Pune",8 km
Upsouth,https://www.zomato.com/pune/upsouth-4-wakad/info,"South Indian, Sandwich, Fast Food, Beverages",₹300 for two,"Wakad, Pune",12.9 km
Bastian Empire,https://www.zomato.com/pune/bastian-empire-koregaon-park/info,"Seafood, Asian","₹4,000 for two","Koregaon Park, Pune
Opens at 7pm",5.6 km
Ambrosios,https://www.zomato.com/pune/ambrosios-1-hinjawadi/info,North Indian,₹350 for two,"Hinjawadi, Pune",18.7 km
Houz - On the Top,https://www.zomato.com/pune/houz-on-the-top-jm-road/info,"Continental, Alcoholic Beverages, Shake, Beverages","₹1,000 for two","JM Road, Pune",1.4 km
Dorabjee & Sons,https://www.zomato.com/pune/dorabjee-sons-camp-area/info,"Parsi, Mughlai, North Indian",₹600 for two,"Camp Area, Pune",2.2 km
Springrose Restaurant And Banquets,https://www.zomato.com/pune/springrose-restaurant-and-banquets-wakad/info,"South Indian, Continental, Oriental, North Indian","₹1,200 for two","Wakad, Pune",14.3 km
SOUTHWAY COFFEE,https://www.zomato.com/pune/southway-coffee-pimple-saudagar/info,"South Indian, Pizza, Mexican, Coffee, Rolls, Fast Food, Desserts, Beverages",₹350 for two,"Pimple Saudagar, Pune",11.8 km
Third Wave Coffee,https://www.zomato.com/pune/third-wave-coffee-fc-road/info,"Cafe, Coffee, Tea, Beverages, Sandwich, Fast Food, Desserts, Pizza",₹600 for two,"FC Road, Pune",1.7 km
Banarasiya,https://www.zomato.com/pune/banarasiya-camp-area/info,"North Indian, Street Food, Beverages, Desserts","₹1,000 for two","Camp Area, Pune",2.4 km
Sattva Pure Veg,https://www.zomato.com/pune/sattva-pure-veg-baner/info,"North Indian, Chinese, Continental, Pizza, Fast Food, Kebab, Desserts, Beverages","₹1,000 for two","Baner, Pune",8.6 km
Momentt- Enrise By Sayaji,https://www.zomato.com/pune/momentt-enrise-by-sayaji-expressway/info,"North Indian, Chinese, Mughlai, Salad, Desserts, Beverages","₹1,400 for two","Expressway, Pune",14.9 km
Chopsticks Spice Malabar,https://www.zomato.com/pune/chopsticks-spice-malabar-viman-nagar/info,"Kerala, Chettinad, North Indian, Mughlai, Kebab, Chinese, Seafood, Biryani",₹950 for two,"Viman Nagar, Pune",7.8 km
Cafe Kathaa,https://www.zomato.com/pune/cafe-kathaa-fc-road/info,"Cafe, Continental, Desserts, Chinese, Salad, Italian, Fast Food, Beverages",₹850 for two,"FC Road, Pune",1.7 km
MOH Bistro & Barrels,https://www.zomato.com/pune/moh-bistro-barrels-mundhwa/info,"Continental, North Indian, Asian","₹1,400 for two","Mundhwa, Pune",7 km
Ruhmani By Hilton Garden Inn,https://www.zomato.com/pune/ruhmani-by-hilton-garden-inn-hinjawadi/info,"North Indian, Chinese, Biryani, Desserts, Beverages","₹3,000 for two","Hinjawadi, Pune",14.5 km
Bharat Bhavan,https://www.zomato.com/pune/bharat-bhavan-balewadi/info,"North Indian, Mughlai, Awadhi, Goan, Lucknowi, Kashmiri, Beverages, Desserts","₹2,000 for two","Balewadi, Pune
Closes in 36 minutes",10.4 km
Arthur's Theme,https://www.zomato.com/pune/arthurs-theme-koregaon-park/info,"European, Italian, Fast Food, Seafood, Pizza, Pasta, Desserts","₹1,800 for two","Koregaon Park, Pune",4.9 km
THE GLITTERS CAFE,https://www.zomato.com/pune/the-glitters-cafe-nibm-road/info,"Cafe, Coffee, Sandwich, Pasta, Italian, Tea, Beverages",₹800 for two,"NIBM Road, Pune",7.9 km
Quattro Bistro,https://www.zomato.com/pune/quattro-bistro-koregaon-park/info,"Italian, Mexican, Continental, Coffee","₹1,600 for two","Koregaon Park, Pune",4.8 km
Ambrozia Cafe And Patisserie,https://www.zomato.com/pune/ambrozia-cafe-and-patisserie-viman-nagar/info,"Cafe, Bakery, Sandwich, Fast Food, Desserts, Coffee, Beverages",₹500 for two,"Viman Nagar, Pune",7.6 km
Lola Cafe and Bar,https://www.zomato.com/pune/lola-cafe-and-bar-lonavala/info,"Chinese, Pizza, Fast Food, North Indian, Pasta, Italian, Bakery","₹1,200 for two","Lonavala, Pune",54.3 km
Kwality Family Resto Bar,https://www.zomato.com/pune/kwality-family-resto-bar-magarpatta/info,"North Indian, Chinese, Kebab, Mughlai, Biryani, Ice Cream, Beverages","₹1,600 for two","Magarpatta, Pune
Closes in 36 minutes",8 km
De Lush Leaf,https://www.zomato.com/pune/de-lush-leaf-baner/info,"Pizza, Panini, Salad, Healthy Food, Chinese, Wraps, Coffee, Beverages",₹750 for two,"Baner, Pune",10.1 km
Puno Advance,https://www.zomato.com/pune/puno-advance-viman-nagar/info,"North Indian, Pizza","₹1,000 for two","Viman Nagar, Pune",7.9 km
Twelve 21,https://www.zomato.com/pune/twelve-21-ravet/info,"North Indian, Fast Food, Italian, Chinese, Malwani, Desserts, Beverages","₹1,400 for two","Ravet, Pune",19.2 km
Flamingo Globally Inspired Food,https://www.zomato.com/pune/flamingo-globally-inspired-food-kothrud/info,"Asian, Mediterranean, Mexican","₹1,400 for two","Kothrud, Pune",5 km
Sky Deck,https://www.zomato.com/pune/sky-deck-bhosari/info,"North Indian, Chinese, Pasta, Fast Food, Mughlai, Desserts, Beverages","₹1,300 for two","Bhosari, Pune",16.6 km
Saanjh - An Evening Full Of Flavours,https://www.zomato.com/pune/saanjh-an-evening-full-of-flavours-viman-nagar/info,"Maharashtrian, Continental, Chinese, Biryani, Italian, Pizza, Desserts, Shake","₹1,000 for two","Viman Nagar, Pune",7.9 km
Sukhkarta Pure Veg Dining Hall,https://www.zomato.com/pune/sukhkarta-pure-veg-dining-hall-kothrud/info,"Maharashtrian, North Indian",₹750 for two,"Kothrud, Pune
Closes in 6 minutes",4.5 km
Bhadait Misal,https://www.zomato.com/pune/bhadait-misal-1-erandwane/info,"Street Food, Maharashtrian",₹150 for two,"Erandwane, Pune
Closes in 36 minutes",2.7 km
Shabree Restaurant,https://www.zomato.com/pune/shabree-restaurant-fc-road/info,"Maharashtrian, South Indian, North Indian, Fast Food, Chinese, Sandwich, Desserts, Beverages",₹950 for two,"FC Road, Pune
Closes in 6 minutes",1.6 km
Blue Nile,https://www.zomato.com/pune/blue-nile-camp-area/info,"North Indian, Mughlai, Chinese, Fast Food, Biryani, Ice Cream, Desserts, Beverages","₹2,000 for two","Camp Area, Pune",2.2 km
Nothing Before Coffee,https://www.zomato.com/pune/nothing-before-coffee-kharadi/info,"Cafe, Coffee, Fast Food, Shake, Tea, Desserts, Beverages",₹300 for two,"Kharadi, Pune",9.5 km
Dossai Flavours Of South,https://www.zomato.com/pune/dossai-flavours-of-south-baner/info,"South Indian, Beverages",₹300 for two,"Baner, Pune",7.5 km
Penthouze,https://www.zomato.com/pune/penthouze-mundhwa/info,"Continental, Italian, Finger Food","₹2,300 for two","Mundhwa, Pune
Opens at 4pm",5.7 km
We Idliwale,https://www.zomato.com/pune/we-idliwale-viman-nagar/info,South Indian,₹450 for two,"Viman Nagar, Pune",8.2 km
Pappe Di Chaap,https://www.zomato.com/pune/pappe-di-chaap-1-kharadi/info,"North Indian, Rolls, Street Food, Chinese","₹1,000 for two","Kharadi, Pune",10.9 km
Cafe From The Tree,https://www.zomato.com/pune/cafe-from-the-tree-koregaon-park/info,"Pasta, Sandwich, Cafe, Italian","₹1,000 for two","Koregaon Park, Pune",4 km
Paasha - JW Marriott Pune,https://www.zomato.com/pune/paasha-jw-marriott-pune-senapati-bapat-road/info,"North Indian, Kebab, Desserts","₹4,000 for two","Senapati Bapat Road, Pune
Opens at 6:30pm",3.2 km
Qehhwa Cafe,https://www.zomato.com/pune/qehhwa-cafe-kondhwa/info,"Cafe, Coffee, Sandwich, Desserts, Pizza, Pasta, Shake, Beverages",₹300 for two,"Kondhwa, Pune",6.4 km
Fatcook,https://www.zomato.com/pune/fatcook-baner/info,"Italian, Mexican, Oriental, Pasta, North Indian, Kebab, Desserts, Beverages",₹700 for two,"Baner, Pune
Closes in 6 minutes",9.7 km
Nieesh,https://www.zomato.com/pune/nieesh-wakad/info,"North Indian, Mexican, Italian, Oriental, Mughlai, Seafood, Chinese, Desserts","₹1,400 for two","Wakad, Pune
Opens at 6:30pm",13.4 km
George Restaurant,https://www.zomato.com/pune/george-restaurant-camp-area/info,"North Indian, Biryani, Chinese, Mughlai, Continental, Kebab, Desserts, Beverages","₹1,400 for two","Camp Area, Pune",2.4 km
Si Nonna’s - The Original Sourdough Pizza,https://www.zomato.com/pune/si-nonnas-the-original-sourdough-pizza-wakad/info,"Cafe, Italian, Pizza, Desserts","₹1,300 for two","Wakad, Pune",13.6 km
One O Eight Cafe,https://www.zomato.com/pune/one-o-eight-cafe-koregaon-park/info,"Cafe, Pizza, Continental, Italian, Bakery, Beverages","₹1,200 for two","Koregaon Park, Pune",4.8 km
Tutto Bene - Health Cafe by Little Italy,https://www.zomato.com/pune/tutto-bene-health-cafe-by-little-italy-1-bund-garden/info,"Healthy Food, Continental, Italian, Fast Food, Sandwich, Desserts, Beverages, Bakery",₹500 for two,"Bund Garden Road, Pune",3.6 km
Bawarchi,https://www.zomato.com/pune/bawarchi-aundh/info,"North Indian, Biryani","₹1,000 for two","Aundh, Pune",6.5 km
Hotel Varhadi,https://www.zomato.com/pune/hotel-varhadi-kothrud/info,North Indian,₹300 for two,"Kothrud, Pune
Closes in 36 minutes",4.5 km
The Veg Culture,https://www.zomato.com/pune/the-veg-culture-swargate/info,"North Indian, Chinese, Pizza, Italian, Mexican, Thai, Ice Cream, Beverages","₹1,200 for two","Swargate, Pune",2.7 km
Ramyun House,https://www.zomato.com/pune/ramyun-house-aundh/info,Korean,₹800 for two,"Aundh, Pune",7.7 km
Mamma Mia,https://www.zomato.com/pune/mamma-mia-bavdhan/info,"Pizza, Italian",₹600 for two,"Bavdhan, Pune",9 km
Bottle Baash Gastro Bar,https://www.zomato.com/pune/bottle-baash-gastro-bar-viman-nagar/info,"Bar Food, Fast Food, Chinese, North Indian, Beverages, Sichuan","₹1,400 for two","Viman Nagar, Pune",7.9 km
Yalla Yalla,https://www.zomato.com/pune/yalla-yalla-2-kharadi/info,"North Indian, Chinese, Mughlai","₹1,200 for two","Kharadi, Pune",11.8 km
Bell Bottom Family Resto And Lounge,https://www.zomato.com/pune/bell-bottom-family-resto-and-lounge-hinjawadi/info,"North Indian, Kebab, Chinese, Seafood, Street Food",₹500 for two,"Hinjawadi, Pune",14.9 km
Chaats And Wraps,https://www.zomato.com/pune/chaats-and-wraps-viman-nagar/info,"North Indian, Rolls, Street Food, Fast Food, Desserts, Beverages",₹600 for two,"Viman Nagar, Pune",7.6 km
Farm Paradise,https://www.zomato.com/pune/farm-paradise-mulshi/info,"Maharashtrian, North Indian, Mughlai, Seafood, Korean, Pizza, Fast Food, Desserts","₹1,000 for two","Mulshi Road, Pune",18.1 km
Madrasi Raja,https://www.zomato.com/pune/madrasi-raja-baner/info,"South Indian, Street Food, Beverages",₹200 for two,"Baner, Pune",9.4 km
Ishanya Restaurant And Bar,https://www.zomato.com/pune/ishanya-restaurant-and-bar-bhosari/info,"Italian, Seafood, Chinese, Biryani, Continental, Pizza, North Indian, Mughlai","₹1,000 for two","Bhosari, Pune",11.6 km
Cafe Edinburgh,https://www.zomato.com/pune/cafe-edinburgh-1-kharadi/info,"Pizza, Pasta, Burger, Sandwich, Fast Food",₹450 for two,"Kharadi, Pune",11.2 km
bean social,https://www.zomato.com/pune/bean-social-viman-nagar/info,"Cafe, Coffee, Desserts, Beverages, Sandwich, Bakery",₹300 for two,"Viman Nagar, Pune",7.5 km
Spice It - ibis Pune Hinjewadi,https://www.zomato.com/pune/spice-it-ibis-pune-hinjewadi-hinjawadi/info,"North Indian, Chinese, Healthy Food, Continental, Fast Food, Bar Food, Beverages","₹2,250 for two","Hinjawadi, Pune",16.9 km
6story,https://www.zomato.com/pune/6story-koregaon-park/info,"Continental, Healthy Food, Oriental, Italian, Desserts, Beverages",₹950 for two,"Koregaon Park, Pune",4.7 km
WOW! Momo,https://www.zomato.com/pune/wow-momo-aundh/info,"Momos, Chinese, Fast Food, Asian, Beverages",₹400 for two,"Aundh, Pune",7 km
Portico B4M Restaurant & Bar,https://www.zomato.com/pune/portico-b4m-restaurant-bar-jm-road/info,"North Indian, Italian, Chinese, Continental, Burger, Bar Food","₹1,500 for two","JM Road, Pune",1.2 km
Grill Wich - The Engineered Sandwich,https://www.zomato.com/pune/grill-wich-the-engineered-sandwich-sinhgad-road/info,"Fast Food, Sandwich",₹300 for two,"Sinhgad Road, Pune
Opens at 5pm",6.7 km
Loam Bistro and Artisanal Cheese,https://www.zomato.com/pune/loam-bistro-and-artisanal-cheese-kalyani-nagar/info,"Coffee, Continental",₹800 for two,"Kalyani Nagar, Pune",5.8 km
Apache High Street,https://www.zomato.com/pune/apache-high-street-baner/info,"Finger Food, Continental, Salad","₹1,300 for two","Baner, Pune",10.2 km
KarolBaug- Dawat-E-Mehfil,https://www.zomato.com/pune/karolbaug-dawat-e-mehfil-aundh/info,"North Indian, Seafood, Chinese, Mughlai, Kebab","₹1,100 for two","Aundh, Pune",7.6 km
